ComplexID,ComplexName,Organism,Subunits_UniProt_IDs,GO description
3056,Microprocessor complex,Human,"Q8WYQ5,Q9NRR4",RNA processing;RNA binding;nucleus
3057,ITGA10-ITGB1 complex,Human,"O75578,P05556",anisotropic cell growth
3058,ITGA11-ITGB1 complex,Human,"P05556,Q9UKX5",protein binding;cell migration
3059,ITGA11-ITGB1-COL1A1 complex,Human,"P02452,P05556,Q9UKX5",integrin-mediated signaling pathway
3060,"RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying",Human,"P24863,P24928,P35269,P49336,P51531,Q12824,Q13503","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3062,"RNA polymerase II complex, (CBP, RPBI, PCAF, BAF47), chromatin structure modifying",Human,"P24928,Q12824,Q92793,Q92831","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3064,"RNA polymerase II complex, chromatin structure modifying",Human,"P20226,P24863,P24928,P29083,P32780,P35269,P49336,P51531,Q00403,Q12824,Q13503,Q14919,Q6UW60,Q8TAQ2,Q92922,Q96GM5","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3065,"RNA polymerase II complex, chromatin structure modifying",Human,"O96019,P24863,P49336,Q12824,Q13503,Q8TAQ2,Q92922,Q969G3,Q96GM5","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3066,"RNA polymerase II complex, chromatin structure modifying",Human,"P19447,P24863,P24928,P35269,P49336,P51531,P51532,Q00403,Q12824,Q13503,Q13889,Q92793,Q92831","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3067,"RNA polymerase II complex, (CDK8 complex), chromatin structure modifying",Human,"P24863,P35269,P49336,P51946,Q12824,Q13503,Q8TAQ2,Q92922","DNA topological change;transcription, DNA-templated;DNA binding;nucleus"
3068,"Fertilin complex (Adam1a, Adam2)",Mouse,"Q60718,Q60813",protein transport;protein transporter activity
3069,Amot-Arhgap17-Pard3 complex,Rat,"D4A9Q2,Q99N37,Q9Z340",protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction
3070,CTF18-cohesion-RFC-POLH complex,Human,"P0CG13,P35249,P35250,P40937,P40938,Q8WVB6,Q9BVC3,Q9Y253",DNA replication;DNA recombination;DNA repair;DNA binding;nucleus
3071,CTLH complex,Human,"Q7L5Y9,Q8IUR7,Q96S59,Q9H871,Q9UL63",chromosome segregation;cell migration;microtubule cytoskeleton organization;cytoplasm;nucleus
3072,"CCT complex (chaperonin containing TCP1 complex), testis specific",Mouse,"P11983,P42932,P80313,P80314,P80315,P80316,P80318,Q61390",protein stabilization;protein folding;protein binding;ATP binding;cytoplasm
3074,"CCT-Prefoldin complex, testis specific",Mammalia,"O15212,O60925,P61758,Q2NKZ1,Q2T9X2,Q32L40,Q3T084,Q3T0K2,Q3T115,Q3ZBH0,Q3ZCI9,Q99471,Q9NQP4,Q9UHV9",protein stabilization;protein folding;protein binding
3075,UTX-MLL2/3 complex,Human,"O14686,O15550,P61964,Q14686,Q15291,Q5H9R7,Q6ZW49,Q86UW6,Q86XN7,Q8NEZ4,Q9UBL3,Q9Y2X9","positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;cellular protein modification process;nucleus"
3076,Elk1-Srf complex,Rat,"A4GTP4,D3ZHH8","negative regulation of transcription, DNA-templated;smooth muscle tissue development"
3077,Myocd-Srf complex,Rat,"D3ZHH8,Q8R5I7","positive regulation of transcription, DNA-templated;smooth muscle tissue development"
3078,DGCR8-NCL complex,Human,"P19338,Q8WYQ5",RNA processing;RNA binding;nucleolus
3079,DGCR8-ILF3 complex,Human,"Q12906,Q8WYQ5",RNA processing;RNA binding;nucleolus
3080,ILF3-XPO5 complex,Human,"Q12906,Q9HAV4",RNA processing;RNA binding;RNA transport;RNA transmembrane transporter activity;nucleus
3082,DGCR8 multiprotein complex,Human,"O43390,P11021,P17844,P19338,P31943,P35637,Q00839,Q08211,Q12906,Q8WYQ5,Q92841",RNA processing;nucleus
3084,CCND1-CDK4 complex,Human,"P11802,P24385",mitotic cell cycle;protein phosphorylation;nucleus
3085,CCND2-CDK4 complex,Human,"P11802,P30279",mitotic cell cycle;protein phosphorylation;nucleus
3086,CCND3-CDK4 complex,Human,"P11802,P30281",mitotic cell cycle;protein phosphorylation;nucleus
3087,CCND1-CDK6 complex,Human,"P24385,Q00534",mitotic cell cycle;protein phosphorylation;nucleus
3088,CCND2-CDK6 complex,Human,"P30279,Q00534",mitotic cell cycle;protein phosphorylation;nucleus
3089,CCND3-CDK6 complex,Human,"P30281,Q00534",mitotic cell cycle;protein phosphorylation;nucleus
3090,Kv4.2-Kchip4 channel complex,Rat,"Q63881,Q99MG9",cation transmembrane transporter activity;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane
3091,Kv4.3-Kchip1 channel complex,Rat,"Q62897,Q8R426",cation transmembrane transporter activity;cation transport;ion channel activity;action potential;neuronal action potential propagation;neuronal action potential;plasma membrane
3092,APP-TOM40 complex,Human,"O96008,P05067",intracellular protein transport;protein targeting;protein transport;mitochondrion
3093,APP-TIM23 complex,Human,"O14925,P05067",intracellular protein transport;protein targeting;protein transport;mitochondrion
3094,Metaxin complex,Mouse,"O88441,P47802",protein transport;protein transporter activity;embryo development ending in seed dormancy;mitochondrial outer membrane
3095,Itgav-Itgb3-Tgm2 complex,Rat,"P43406,Q8R2H2,Q9WVJ6",protein binding;cell adhesion;plasma membrane
3096,ITGA6-ITGB4-SHC1-GRB2 complex,Human,"P16144,P23229,P29353,P62993",signaling;cytoskeleton organization
3098,TIM50-SMN1 complex,Human,"Q16637,Q3ZCQ8",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus
3099,TIM50-COIL complex,Human,"P38432,Q3ZCQ8",
3100,Yy1-Ppargc1a complex,Mouse,"O70343,Q00899","positive regulation of transcription, DNA-templated;nucleus"
3101,Mtor-Yy1-Ppargc1a complex,Mouse,"O70343,Q00899,Q9JLN9","positive regulation of transcription, DNA-templated;nucleus"
3102,DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex,Human,"P12956,P13010,P55265,P78527,Q00341,Q08211",DNA topological change;chromosome segregation;mRNA modification;RNA binding;chromosome organization;nucleus
3103,ITGAV-ITGB3-SLC3A2 complex,Human,"P05106,P06756,P08195",movement of cell or subcellular component;cell adhesion;plasma membrane
3104,ITGB1-NRP1 complex,Human,"O14786,P05556",cell adhesion;plasma membrane
3105,Itga7-Itgb11-Lama2 complex,Rat,"P49134,Q60675,Q63258",cell adhesion;plasma membrane
3106,Itga7-Itgb11-Ptk2 complex,Rat,"O35346,P49134,Q63258",integrin-mediated signaling pathway;plasma membrane
3110,ITGAV-P2RY2-GNA12 complex,Human,"P06756,P41231,Q03113",cell migration;plasma membrane
3111,ITGA9-ITGB1-SPP1 complex,Human,"P05556,P10451,Q13797",protein binding;cell adhesion
3112,ITGA5-ITGB1-SPP1 complex,Human,"P05556,P08648,P10451",protein binding;cell adhesion
3114,Itgax-Itgb2-Icam4 complex,Mouse,"P11835,Q9ERM2,Q9QXH4",cell adhesion
3115,ITGA2B-ITGB3-ICAM4 complex,Human,"P05106,P08514,Q14773",cell adhesion
3117,ITGB5-ITGAV-VTN complex,Human,"P04004,P06756,P18084",protein binding;cell adhesion
3118,SMN1-SIP1-SNRP complex,Human,"O14893,P14678,P62304,P62314,P62316,P62318,Q16637",cytoplasm;nucleus
3119,Kif17-Lin10-Lin2-Lin7-NR2B complex,Mouse,"B2RUJ5,O70589,Q01097,Q8JZS0,Q99PW8",cytoskeleton-dependent intracellular transport;response to stimulus;neurogenesis;generation of neurons;neuron differentiation
3120,OCT1-OBF1-DNA-TLE1 complex,Human,"P14859,Q04724,Q16633","negative regulation of transcription, DNA-templated;DNA binding;nucleus"
3121,OCT2-TLE4 complex,Human,"P09086,Q04727","negative regulation of transcription, DNA-templated;DNA binding;nucleus"
3123,TLE2 homodimer complex,Human,Q04725,"negative regulation of transcription, DNA-templated;protein binding;nucleus"
3124,TLE1-TLE2 complex,Human,"Q04724,Q04725","negative regulation of transcription, DNA-templated;protein binding;nucleus"
3125,TLE1 homodimer complex,Human,Q04724,"negative regulation of transcription, DNA-templated;protein binding;regulation of binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"
3126,Tle2-Hes1 complex,Rat,"Q04666,Q496Z7","negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;neurogenesis;generation of neurons;nucleus"
3127,TLE-Histone H3 complex,Human,"P68431,Q04724","DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;nucleus"
3128,"Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)",Human,"P49768,Q8WW43,Q92542,Q9NZ42",protein processing;regulation of sequence-specific DNA binding transcription factor activity;signaling;Notch signaling pathway;plasma membrane;Golgi apparatus
3129,STAT6-p100-RHA complex,Human,"P42226,Q08211,Q7KZF4","chromosome organization;DNA topological change;positive regulation of transcription, DNA-templated;DNA binding;nucleus"
3130,Tle3-Aes complex,Mouse,"P63002,Q08122","negative regulation of transcription, DNA-templated;protein binding;regulation of binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"
3132,OCT1-OBF1-DNA complex,Human,"P14859,Q16633","positive regulation of transcription, DNA-templated;DNA binding;nucleus"
3133,"Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)",Human,"P27986,P42336",ATP binding;plasma membrane;phosphatidylinositol phosphorylation;phosphatidylinositol-mediated signaling
3134,Na(+)/K(+) ATPase,Pig,"P05024,P05027,Q58K79","ATP binding;cation transmembrane transporter activity;cation transport;ATPase activity, coupled to transmembrane movement of substances;plasma membrane"
3135,TLE1 corepressor complex (MASH1 promoter-corepressor complex),Human,"P06748,P09874,P19338,P34932,Q02880,Q04724,Q15233,Q92878","negative regulation of transcription, DNA-templated;protein binding;DNA binding;neuron differentiation;nucleus"
3136,Hes1-Tle1 complex,Rat,"Q04666,Q62440","negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;neurogenesis;generation of neurons;nucleus"
3137,MASH1 promoter-coactivator complex,Human,"P09874,P12931,P24928,P62805,P68431,Q14469,Q15233,Q92793,Q92831","positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;neuron differentiation;nucleus"
3138,POSH-AKT2 complex,Human,"P31751,Q7Z6J0",JNK cascade
3139,CRLR-RAMP1-ARRB2 complex,Mammalia,"O60894,P29067,Q16602",G-protein coupled receptor signaling pathway;plasma membrane
3140,CRLR-RAMP2 complex,Human,"O60895,Q16602",G-protein coupled receptor signaling pathway;plasma membrane
3141,CRLR-RAMP3 complex,Human,"O60896,Q16602",G-protein coupled receptor signaling pathway;plasma membrane
3142,CAMK2-delta-MASH1 promoter-coactivator complex,Human,"P09874,P12931,P24928,Q13557,Q14469,Q15233,Q92793,Q92831","positive regulation of transcription, DNA-templated;protein binding;DNA binding;Notch signaling pathway;neuron differentiation;nucleus"
3144,GRB2-SOS1 complex,Human,"P62993,Q07889",small GTPase mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway
3145,Coatomer complex,Rabbit,"O55029,O89079,P61924,Q5XJY5,Q8CIE6,Q9JIF7,Q9QZE5",protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;cytoplasm
3146,Coatomer-Arf1 complex,Rabbit,"O55029,O89079,P61924,P84078,Q5XJY5,Q8CIE6,Q9JIF7,Q9QZE5",protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;Golgi apparatus
3147,Beta/delta-coat protein subcomplex,Rabbit,"Q5XJY5,Q9JIF7",protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;cytoplasm
3148,Arf1-beta/delta-coat protein subcomplex,Rabbit,"P84078,Q5XJY5,Q9JIF7",protein transport;protein transporter activity;membrane budding;vesicle organization;transport vesicle;Golgi apparatus
3149,NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex,Human,"Q04724,Q09028,Q13547,Q96ST3,Q99801,Q9H2X6","DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;chromosome organization;nucleus"
3150,NK-3-Groucho complex,Human,"Q04724,Q99801","negative regulation of transcription, DNA-templated;nucleus"
3151,Sulphiredoxin-peroxiredoxin complex,Human,"Q06830,Q9BYN0",ATP binding;signal transduction;cytoplasm
3152,Notch1(N-TM)-Notch1(N-EC) heterodimer complex,Mouse,Q01705,protein binding;Notch signaling pathway
3153,GNAQ-GEFT-RHOA complex,Human,"P50148,P61586,Q86VW2",GTP binding
3154,Notch2(N-TM)-Notch2(N-EC)-Delta complex,Human,"O00548,Q04721",Notch signaling pathway;plasma membrane
3155,TFC4-CTNNB1 complex,Human,"P35222,Q9NQB0","transcription, DNA-templated;Wnt signaling pathway"
3156,CBF1-HDAC1-SMRT complex,Human,"Q06330,Q13547,Q9Y618","DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;chromosome organization;nucleus"
3157,PR -PRLR complex,Human,"P01236,P16471",signaling
3158,RIAM-Rap1-GTP-profilin complex,Human,"P07737,P62834,Q7Z5R6",cell adhesion;actin cytoskeleton organization
3159,RIAM-profilin complex,Human,"P07737,Q7Z5R6",cell adhesion;actin cytoskeleton organization
3160,RIAM-VASP complex,Human,"P50552,Q7Z5R6",cell adhesion;actin cytoskeleton organization
3161,PRLR homodimer complex,Human,P16471,signaling
3162,TF-FVIIa-FXa-TFPI complex,Human,"P00742,P08709,P10646,P13726",blood coagulation
3163,VILIP-1-AChR-alpha-4-AChR-beta-2 complex,Rat,"P09483,P12390,P62762",calcium ion binding;response to calcium ion;regulation of acetylcholine-gated cation channel activity
3164,HESX1-TLE1 complex,Human,"Q04724,Q9UBX0","negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus;pituitary gland development"
3166,AXIN1-APC-CTNNB1-GSK3B complex,Human,"O15169,P25054,P35222,P49841",protein phosphorylation;Wnt signaling pathway;beta-catenin destruction complex
3167,NCOR-SIN3-HDAC-HESX1 complex,Human,"O75182,Q13547,Q92769,Q96ST3,Q9UBX0,Q9Y618","DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;DNA binding;Notch signaling pathway;chromosome organization;nucleus;pituitary gland development"
3168,DAXX-AXIN complex,Human,"O15169,Q9UER7",protein binding;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;response to radiation;apoptotic process
3169,Daxx-Axin complex,Mouse,"O35613,O35625",protein binding;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;apoptotic process
3170,Daxx-Axin-p53 complex,Human,"O15169,P04637,Q9UER7","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to radiation;apoptotic process;nucleus"
3171,GluR6a-GluR6b-KA2 complex,Mouse,"P39087,P39087-2,Q61626",cation transmembrane transporter activity;cation transport;ion channel activity;synaptic transmission;plasma membrane
3172,NUMB-TP53-MDM2 complex,Human,"P04637,P49757,Q00987",protein binding;Notch signaling pathway;signaling
3173,CIN85 homotetramer complex,Human,Q96B97,cell-cell signaling
3174,CIN85-BLNK complex,Human,"Q8WV28,Q96B97",B cell receptor signaling pathway
3175,CIN85-CBL complex,Human,"P22681,Q96B97",cytoplasm;B cell receptor signaling pathway
3176,USP1-UAF1 complex,Human,"O94782,Q8TAF3",protein deubiquitination;cellular response to DNA damage stimulus;nucleus
3177,GNA14-p115RhoGEF complex,Human,"O95837,Q92888",cell morphogenesis;cell growth
3178,"Frs2-Shp2 complex, FGF stimulated",Mouse,"P35235,Q8C180",fibroblast growth factor receptor signaling pathway
3179,"Grb2-Shp2 complex, FGF stimulated",Mouse,"P35235,Q60631",fibroblast growth factor receptor signaling pathway
3180,"Shp2-Sos complex, FGF stimulated",Mouse,"P35235,Q62245",fibroblast growth factor receptor signaling pathway
3181,LMO4-CREB complex,Human,"P16220,P61968","positive regulation of transcription, DNA-templated;calcium-mediated signaling;neurogenesis;generation of neurons"
3182,FHL2 homodimer complex,Human,Q14192,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3183,"PDGFRA-SHP-2 complex, PDGF stimulated",Human,"P16234,Q06124",transmembrane receptor protein tyrosine kinase signaling pathway
3184,FHL3 homodimer complex,Human,Q13643,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3185,ACT homodimer complex,Human,Q5TD97,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3186,"GRB2-SHP-2 complex, PDGF stimulated",Human,"P62993,Q06124",transmembrane receptor protein tyrosine kinase signaling pathway
3187,FHL2-FHL3 complex,Human,"Q13643,Q14192","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3188,FHL2-ACT complex,Human,"Q14192,Q5TD97","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3189,FHL2-CREB complex,Human,"P16220,Q14192","positive regulation of transcription, DNA-templated;DNA binding;protein binding"
3190,FHL3-CREB complex,Human,"P16220,Q13643","positive regulation of transcription, DNA-templated;DNA binding;protein binding"
3191,ACT-CREB complex,Human,"P16220,Q5TD97","positive regulation of transcription, DNA-templated;DNA binding;protein binding"
3192,"G protein complex (Hdac4, Gnb1, Gng2)",Mouse,"P62874,P63213,Q6NZM9","negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway"
3195,"G protein complex (Btk, Gng2, Gnb1)",Mouse,"P35991,P62874,P63213",G-protein coupled receptor signaling pathway;cell differentiation
3196,FHL4/STX11-ACT complex,Human,"O75558,Q5TD97","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding"
3197,SMAD4-SNO-SKI complex,Human,"P12755,P12757,Q13485","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3198,SKI-SMAD2 complex,Human,"P12755,Q15796","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3199,SKI-SMAD3 complex,Human,"P12755,P84022","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3200,SMAD4-SKI complex,Human,"P12755,Q13485","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3201,"Ship-Shc complex, IL-3 stimulated",Mouse,"P98083,Q9ES52",signaling
3202,"Il3rb1-Shc-Ship complex, IL-3 stimulated",Mouse,"P26955,P98083,Q9ES52",signaling
3203,"Shc-Ship-Grb2 complex, IL-3 stimulated",Mouse,"P98083,Q60631,Q9ES52",signaling
3204,SMAD2-SKI-NCOR complex,Human,"O75376,P12755,Q15796","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3205,SMAD3-SKI-NCOR complex,Human,"O75376,P12755,P84022","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3206,SMAD4-SKI-NCOR complex,Human,"O75376,P12755,Q13485","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3207,LIN2-LIN7-SAP97-MINT1 complex,Human,"O14910,O14936,Q02410,Q12959",intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium
3208,LIN2-LIN7 complex,Human,"O14910,O14936",intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium
3209,LIN2-SAP97 complex,Human,"O14936,Q12959",intracellular protein transport;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation
3210,Dlg3-Dlg1 complex,Rat,"Q62696,Q62936",intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification
3211,Cask-Dlg1 complex,Mouse,"O70589,Q811D0",protein targeting;protein transport;anisotropic cell growth;axis specification
3212,Pax7-HMT complex,Mouse,"O08550,P47239,P61965,Q91X20","positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;skeletal muscle tissue development;nucleus"
3213,ULBP1-KLRK1-HCST complex,Human,"P26718,Q9BZM6,Q9UBK5",immune response
3214,"G protein complex (Mcf2l, Gnb1, Gng2)",Rat,"P54311,Q45QK6,Q63406",G-protein coupled receptor signaling pathway
3215,"G protein complex (Kalrn, Gnb1, Gng2)",Rat,"P54311,P97924,Q45QK6",G-protein coupled receptor signaling pathway
3216,"G protein complex (CACNA1A, GNB1, GNG2)",Bovine,"A5ACB9,P62871,P63212",G-protein coupled receptor signaling pathway
3217,MAML2-RBP-Jkappa-Notch2 complex,Mammalia,"P31266,Q04721,Q7TPU6","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3218,MAML2-RBP-Jkappa-Notch3 complex,Mouse,"P31266,Q61982,Q7TPU6","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3219,MAML2-RBP-Jkappa-Notch4 complex,Mammalia,"P31266,Q7TPU6,Q99466","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3220,MAML3-RBP-Jkappa-Notch1 complex,Mammalia,"P31266,P46531,Q96JK9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3221,MAML3-RBP-Jkappa-Notch2 complex,Mammalia,"P31266,Q04721,Q96JK9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3222,MAML3-RBP-Jkappa-Notch3 complex,Mouse,"P31266,Q61982,Q69Z97","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3223,MAML3-RBP-Jkappa-Notch4 complex,Mammalia,"P31266,Q96JK9,Q99466","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"
3224,"G protein complex (NME2, GNB1, GNGT1)",Bovine,"P02698,P62871,Q3T0Q4",G-protein coupled receptor signaling pathway
3225,"NMDA receptor complex (NR2A, NR2B, NR1, PSD-95)",Rat,"P31016,P35439,Q00959,Q00960",intracellular protein transport;protein targeting;protein transport;ion channel activity;small GTPase mediated signal transduction;glutamate receptor signaling pathway;signaling;response to stimulus;plasma membrane
3226,Cd74-Cd44 receptor complex,Mouse,"P04441,P15379",signal transduction;cellular process
3227,"Pick1-Pkca complex, TPA (tissue plasminogen activator) treated",Rat,"P05696,Q9EP80",intracellular protein transport;protein targeting;protein transport;synaptic transmission;plasma membrane
3228,Pick1-Glur2 complex,Rat,"P19491,Q9EP80",intracellular protein transport;protein targeting;protein transport;synaptic transmission;plasma membrane
3229,CDK9-IL6ST complex,Human,"P40189,P50750",signaling;cytoplasm
3230,Cdk9- Il6st complex,Mouse,"Q00560,Q99J95",signaling;cytoplasm
3231,Eps15-stonin2 complex,Human,"P42566,Q8WXE9",intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport
3232,Hippocalcin-beta2-adaptin complex,Rat,"P62944,P84076",intracellular protein transport;protein targeting;protein transport;calcium ion binding
3233,"SMAD2-SMAD4-FAST1-TGIF complex, TGF(beta) induced",Human,"O75593,Q13485,Q15583,Q15796","negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"
3234,"SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced",Human,"O75593,Q13485,Q13547,Q15583,Q15796","DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;chromosome organization;nucleus"
3235,"PTF1 complex (Ptf1a, Tcf12, Rbpj)",Mouse,"P31266,Q61286,Q9QX98","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;neurogenesis;generation of neurons;pancreas development;nucleus;spinal cord development"
3240,Gria2-Grip1-Nsg1-Stx12 complex,Rat,"G3V7P1,P02683,P19491,P97879",intracellular protein transport;protein targeting;protein transport;endocytosis;plasma membrane
3262,SCAMP1-SCAMP2-SCAMP3 complex,Human,"O14828,O15126,O15127",protein transport;protein transporter activity;post-Golgi vesicle-mediated transport
3263,HERP1/HEY2-NCOR-SIN3A complex,Human,"Q13547,Q96ST3,Q9UBP5,Q9Y618","DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus"
3269,RB1-HDAC1-BRG1 complex,Human,"P06400,P51532,Q13547","DNA topological change;cell cycle arrest;negative regulation of transcription, DNA-templated;chromosome organization;nucleus"
3270,Delta1 homodimer complex,Human,O00548,Notch signaling pathway
3271,Gamma-secretase-Delta1 complex,Human,"O00548,P49768,Q92542,Q96BI3,Q9NZ42",Notch signaling pathway
3276,GluR1-GluR2 complex,Rat,"P19490,P19491",cation transmembrane transporter activity;cation transport;ion channel activity;synaptic transmission;learning or memory
3277,D2 receptor-Nsf-GluR2 complex,Rat,"P19491,P61169,Q9QUL6",intracellular protein transport;protein targeting;protein transport;cation transmembrane transporter activity;cation transport;ion channel activity;dopamine receptor signaling pathway;synaptic transmission
3284,"SMN complex (GEMIN2, GEMIN3, GEMIN4, GEMIN5, SMN)",Human,"O14893,P57678,Q16637,Q8TEQ6,Q9UHI6",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;ion transport;cytoplasm;nucleus
3289,Ng2-Grip1-Glur2 complex,Mouse,"P23819,Q8VHY0,Q925T6",intracellular protein transport;protein targeting;synaptic transmission
3296,"SMN complex (GEMIN5,4,3), SMN-independent intermediate",Human,"P57678,Q8TEQ6,Q9UHI6",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus
3297,"SMN complex (GEMIN6,7, UNRIP), SMN-independent intermediate",Human,"Q8WXD5,Q9H840,Q9Y3F4",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus
3298,"SMN complex (GEMIN2,5, SMN)",Human,"O14893,Q16637,Q8TEQ6",RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus
3335,NIAP homotetramer complex,Human,Q13075,regulation of programmed cell death
3439,CCT-Pdcl complex,Mammalia,"F1MWD3,Q2NKZ1,Q2T9X2,Q32L40,Q3MHL7,Q3T0K2,Q3ZBH0,Q3ZCI9,Q63737",protein stabilization;protein folding
3457,B23-NPM3 complex,Mouse,"Q61937,Q9CPP0",ribosome biogenesis
3458,B23-NPM3 complex,Mouse,"Q61937,Q9CPP0",ribosome biogenesis
3489,Klf5-Pias1 complex,Mouse,"O88907,Q9Z0Z7","positive regulation of transcription, DNA-templated;DNA binding;nucleus"
3492,BAX homo-oligomer complex,Human,Q07812,apoptotic process;mitochondrion
3525,Tetrameric COG subcomplex,Human,"P83436,Q96MW5,Q9UP83,Q9Y2V7",vesicle-mediated transport;Golgi organization;cytoplasm
3530,Binary COG subcomplex,Human,"P83436,Q9UP83",vesicle-mediated transport;Golgi organization;Golgi apparatus
3532,COG1-COG8 subcomplex,Human,"Q8WTW3,Q96MW5","protein transport;protein transporter activity;retrograde transport, vesicle recycling within Golgi;Golgi organization"
3539,Limd1-p62-Traf6-Prkcz complex,Mouse,"P70196,Q02956,Q64337,Q9QXD8",ossification;osteoclast differentiation
3544,COG2-COG3-COG4 subcomplex,Human,"Q14746,Q96JB2,Q9H9E3","protein transport;protein transporter activity;retrograde transport, vesicle recycling within Golgi;Golgi organization"
3545,COG5-COG6-COG7 subcomplex,Human,"P83436,Q9UP83,Q9Y2V7","protein transport;protein transporter activity;retrograde transport, vesicle recycling within Golgi;Golgi organization"
